Name,Data Type,Logical Address
PIW0,Word,%QW500
PIW2,Word,%QW502
PIW4,Word,%QW504
PIW6,Word,%QW506
PIW20,Word,%QW508
PIW30,Word,%QW510
PQW0,Word,%QW512
PQW2,Word,%QW514
PQW4,Word,%QW516
PQW20,Word,%QW518
PQW30,Word,%QW520
PEEW0,Word,%QW522
PNEW0,Word,%QW524
PAEW0,Word,%QW526
PAEW1,Word,%QW528
PSW0,Word,%QW530
Mtr_Ex1_rpm_max,Int,%QW532
Mtr_Ex1_rpm_disp,Int,%QW534
Mtr_Ex1_amp_max,Int,%QW536
Mtr_Ex1_amp_disp,Int,%QW538
Mtr_Ex1_screw_rpm_max,Int,%QW540
Mtr_Ex1_screw_rpm_disp,Int,%QW542
Mtr_Ex2_rpm_max,Int,%QW544
Mtr_Ex2_rpm_disp,Int,%QW546
Mtr_Ex2_amp_max,Int,%QW548
Mtr_Ex2_amp_disp,Int,%QW550
Mtr_Ex2_screw_rpm_max,Int,%QW552
Mtr_Ex2_screw_rpm_disp,Int,%QW554
Mtr_Cap_rpm_max,Int,%QW556
Mtr_Cap_rpm_disp,Int,%QW558
Mtr_Cap_amp_max,Int,%QW560
Mtr_Cap_amp_disp,Int,%QW562
Dia_H_Xdisp,Int,%QW564
Dia_H_Ydisp,Int,%QW566
Dia_H_OD_Set,Int,%QW568
Dia_H_ID_Set,Int,%QW570
Dia_H_Tol_max,Int,%QW572
Dia_H_Tol_min,Int,%QW574
Dia_H_Status,Int,%QW576
Dia_C_X_Set,Int,%QW578
Dia_C_Xdisp,Int,%QW580
Dia_C_Y_Set,Int,%QW582
Dia_C_Ydisp,Int,%QW584
Dia_C_OD_Set,Int,%QW586
Dia_C_ID_Set,Int,%QW588
Dia_C_Tol_max,Int,%QW590
Dia_C_Tol_min,Int,%QW592
Dia_C_Status,Int,%QW594
Dia_C_CableType,Int,%QW596
Dia_C_Feedback_ctrl,Int,%QW598
TC1_Temp_Z0,Int,%QW600
TC1_Temp_Z1,Int,%QW602
TC1_Temp_Z2,Int,%QW604
TC1_Temp_Z3,Int,%QW606
TC1_Temp_Z4,Int,%QW608
TC1_Temp_Z5,Int,%QW610
TC2_Temp_Z0,Int,%QW612
TC2_Temp_Z1,Int,%QW614
TC2_Temp_Z2,Int,%QW616
TC2_Temp_Z3,Int,%QW618
TC2_Temp_Z4,Int,%QW620
TC2_Temp_Z5,Int,%QW622
TC1_temp_melt,Int,%QW624
TC1_pressure_melt,Int,%QW626
TC2_temp_melt,Int,%QW628
TC2_pressure_melt,Int,%QW630
Ambient_temp,Int,%QW632
MX1L_ratio,Int,%QW634
MX1R_ratio,Int,%QW636
MX2L_ratio,Int,%QW638
MX2R_ratio,Int,%QW640
Max_Throughput_EX1,Real,%QD642
Max_Throughput_MX1L,Real,%QD646
Max_Throughput_MX1R,Real,%QD650
Max_Throughput_EX2,Real,%QD654
Max_Throughput_MX2L,Real,%QD658
Max_Throughput_MX2R,Real,%QD662
Sync_ratio,Real,%QD666
Ex1_ratio,Real,%QD670
Ex2_ratio,Real,%QD674
Cap_ratio,Real,%QD678
LSP,Real,%QD682
Current_Len,Real,%QD686
Left_time,Real,%QD690
Final_Len,Real,%QD694
Total_hrs,Real,%QD698
Total_km,Real,%QD702
